student_id,sex,age,department,subject_name,studytime,failures,absences,final_marks,gpa,university_name
S0001,Female,24,Computer Engineering,Engineering Mathematics,1,2,10,53,6,GSR University
S0001,Female,24,Computer Engineering,Data Visualization,1,2,10,57,6,GSR University
S0001,Female,24,Computer Engineering,Computer Networking,1,2,10,45,5,GSR University
S0002,Female,20,Computer Engineering,Programming,1,2,21,36,4,GSR University
S0002,Female,20,Computer Engineering,Computer Networking,1,2,21,94,10,GSR University
S0002,Female,20,Computer Engineering,Engineering Mathematics,1,2,21,55,6,GSR University
S0003,Female,18,Computer Engineering,Data Visualization,2,1,28,93,10,GSR University
S0003,Female,18,Computer Engineering,Computer Networking,2,1,28,76,8,GSR University
S0003,Female,18,Computer Engineering,Engineering Drawing,2,1,28,62,7,GSR University
S0004,Female,21,Computer Engineering,Programming,3,1,29,91,10,GSR University
S0004,Female,21,Computer Engineering,Data Visualization,3,1,29,37,4,GSR University
S0004,Female,21,Computer Engineering,Engineering Drawing,3,1,29,71,8,GSR University
S0005,Male,20,Computer Engineering,Computer Networking,1,0,6,48,5,GSR University
S0005,Male,20,Computer Engineering,Engineering Drawing,1,0,6,84,9,GSR University
S0005,Male,20,Computer Engineering,Programming,1,0,6,92,10,GSR University
S0006,Female,18,Computer Engineering,Programming,1,1,19,42,5,GSR University
S0006,Female,18,Computer Engineering,Data Visualization,1,1,19,81,9,GSR University
S0006,Female,18,Computer Engineering,Engineering Drawing,1,1,19,69,7,GSR University
S0007,Male,23,Computer Engineering,Programming,4,1,7,88,9,GSR University
S0007,Male,23,Computer Engineering,Computer Networking,4,1,7,76,8,GSR University
S0007,Male,23,Computer Engineering,Engineering Drawing,4,1,7,38,4,GSR University
S0008,Male,23,Computer Engineering,Programming,3,1,25,70,8,GSR University
S0008,Male,23,Computer Engineering,Computer Networking,3,1,25,48,5,GSR University
S0008,Male,23,Computer Engineering,Engineering Drawing,3,1,25,65,7,GSR University
S0009,Female,24,Computer Engineering,Computer Networking,2,2,27,79,8,GSR University
S0009,Female,24,Computer Engineering,Engineering Mathematics,2,2,27,52,6,GSR University
S0009,Female,24,Computer Engineering,Engineering Drawing,2,2,27,81,9,GSR University
S0010,Female,22,Computer Engineering,Data Visualization,2,0,27,63,7,GSR University
S0010,Female,22,Computer Engineering,Computer Networking,2,0,27,49,5,GSR University
S0010,Female,22,Computer Engineering,Programming,2,0,27,79,8,GSR University
S0011,Male,18,Computer Engineering,Data Visualization,3,0,23,85,9,GSR University
S0011,Male,18,Computer Engineering,Engineering Drawing,3,0,23,51,6,GSR University
S0011,Male,18,Computer Engineering,Computer Networking,3,0,23,42,5,GSR University
S0012,Male,20,Computer Engineering,Engineering Mathematics,1,2,4,62,7,GSR University
S0012,Male,20,Computer Engineering,Programming,1,2,4,41,5,GSR University
S0012,Male,20,Computer Engineering,Engineering Drawing,1,2,4,43,5,GSR University
S0013,Female,21,Computer Engineering,Engineering Mathematics,1,2,22,69,7,GSR University
S0013,Female,21,Computer Engineering,Programming,1,2,22,35,4,GSR University
S0013,Female,21,Computer Engineering,Data Visualization,1,2,22,69,7,GSR University
S0014,Male,22,Computer Engineering,Engineering Mathematics,2,2,0,48,5,GSR University
S0014,Male,22,Computer Engineering,Programming,2,2,0,73,8,GSR University
S0014,Male,22,Computer Engineering,Computer Networking,2,2,0,61,7,GSR University
S0015,Male,18,Computer Engineering,Data Visualization,3,1,9,66,7,GSR University
S0015,Male,18,Computer Engineering,Engineering Drawing,3,1,9,73,8,GSR University
S0015,Male,18,Computer Engineering,Computer Networking,3,1,9,83,9,GSR University
S0016,Male,21,Computer Engineering,Data Visualization,4,1,4,70,8,GSR University
S0016,Male,21,Computer Engineering,Programming,4,1,4,47,5,GSR University
S0016,Male,21,Computer Engineering,Engineering Mathematics,4,1,4,66,7,GSR University
S0017,Male,24,Computer Engineering,Computer Networking,3,1,27,91,10,GSR University
S0017,Male,24,Computer Engineering,Engineering Mathematics,3,1,27,87,9,GSR University
S0017,Male,24,Computer Engineering,Programming,3,1,27,40,5,GSR University
S0018,Female,21,Computer Engineering,Engineering Drawing,4,1,29,62,7,GSR University
S0018,Female,21,Computer Engineering,Programming,4,1,29,59,6,GSR University
S0018,Female,21,Computer Engineering,Data Visualization,4,1,29,73,8,GSR University
