lecturer_id,gender,department,faculty,designation,experience_years,evaluation_year,teaching_clarity_score,subject_knowledge_score,student_engagement_score,communication_skill_score,class_management_score,assessment_fairness_score,punctuality_score,availability_score,use_of_teaching_aids_score,overall_student_rating,peer_teaching_quality_score,professional_behavior_score,academic_responsibility_score,research_contribution_score,overall_peer_rating,training_participation_score,innovation_in_teaching_score,student_mentorship_score,discipline_score,feedback_timeliness_score,overall_performance_score,performance_category,promotion_eligible,remarks,university_name,student_satisfaction_index,peer_satisfaction_index,last_promotion_year
L001,Male,BBA,Management,Professor,14,2022,3,4,3,2,3,1,5,5,1,5,5,2,4,2,1,5,5,5,2,2,2.27,Good,Yes,Consistently good performance,GSR University,4.0,1.5,2022.0
L002,Female,BBA,Arts,Associate Professor,21,2023,1,1,5,3,1,4,1,1,5,5,2,4,2,4,3,2,5,4,2,2,2.66,Good,Yes,Consistently good performance,GSR University,5.0,3.5,2022.0
L003,Male,Computer Engineering,Engineering,Professor,3,2023,2,1,2,3,2,2,1,1,1,3,4,2,3,1,4,3,5,5,4,5,3.79,Excellent,No,Consistently good performance,GSR University,2.5,3.0,2018.0
L004,Male,BA,Management,Professor,28,2023,5,5,1,5,3,2,4,3,2,4,3,5,2,1,2,5,1,3,5,5,4.21,Average,No,Consistently good performance,GSR University,2.5,3.5,
L005,Male,BSc,Science,Professor,1,2024,2,4,3,5,2,5,1,4,1,3,4,3,4,5,5,5,2,2,4,4,5.0,Average,Yes,Satisfactory,GSR University,3.0,4.0,2019.0
L006,Female,Civil Engineering,Engineering,Professor,20,2022,2,4,3,2,3,3,1,2,1,5,5,1,4,4,4,4,1,4,3,3,4.8,Good,Yes,Outstanding contributor,GSR University,4.0,2.5,2020.0
L007,Male,Civil Engineering,Engineering,Assistant Professor,29,2024,2,4,1,4,5,2,4,2,4,2,3,1,5,3,3,1,4,3,2,2,3.93,Good,Yes,Consistently good performance,GSR University,1.5,2.0,
L008,Male,Electrical Engineering,Engineering,Assistant Professor,21,2024,2,3,5,2,4,1,4,5,3,1,5,4,1,4,2,2,1,3,3,3,3.26,Good,Yes,Needs improvement,GSR University,3.0,3.0,
L009,Male,BSc,Management,Professor,23,2023,3,5,1,5,5,5,5,5,5,4,2,2,5,1,2,1,4,5,1,4,3.91,Good,Yes,Satisfactory,GSR University,2.5,2.0,2018.0
L010,Female,BSc,Science,Associate Professor,1,2024,1,4,2,5,2,4,1,2,1,4,1,4,3,1,5,2,4,3,1,5,4.36,Good,No,Satisfactory,GSR University,3.0,4.5,2018.0
L011,Male,Electrical Engineering,Engineering,Assistant Professor,3,2023,4,3,1,1,4,5,1,5,5,3,3,3,2,4,1,2,3,2,4,3,2.36,Excellent,No,Consistently good performance,GSR University,2.0,2.0,2022.0
L012,Male,BBA,Arts,Professor,18,2022,2,2,3,5,3,4,5,3,1,4,2,4,3,4,3,1,5,2,5,5,3.23,Good,No,Satisfactory,GSR University,3.5,3.5,2018.0
L013,Male,Civil Engineering,Engineering,Assistant Professor,25,2023,5,2,1,1,4,5,3,2,2,5,2,1,4,1,5,5,4,1,3,5,4.52,Average,Yes,Consistently good performance,GSR University,3.0,3.0,2018.0
L014,Male,Civil Engineering,Engineering,Assistant Professor,10,2022,2,3,5,4,1,5,3,5,1,5,3,1,5,3,3,2,3,2,5,1,3.15,Good,No,Outstanding contributor,GSR University,5.0,2.0,2018.0
